"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"1a72148610487e25c74be05a6e73264c920ac96b","1","0","0"
"fc14e71fecec290c2ed9de7b1c51162e78da9192","0","0","0"
"8a4970cff230ea63afc43fb9294199b6e09a66f1","0","0","0"
"20ff32da89d71f767d0eeefd1f86c39c0c2dedc6","0","0","0"
"daa8c2c6b2838a939726703dfcadd310940ae938","0","1","1"
"64b0fd93090da086186316eda27996c0a3c749e1","0","0","0"
"58c52d3e9b2a46da642918a60a7ae850c801d93f","0","0","0"
"255ad9f932fc30fad72a41a172167fb4810eb67e","0","0","0"
"5e1193966a2120dffeb6a2b9d7a597355610ca72","1","1","1"
"09ed217b9122c280422c51801de73174db6693e9","1","0","0"
"27277e4c8d000031a814167c26b26fb1bca44bd2","0","0","0"
"3dcc687f3fb56ef8555163b82aaea423c52ecdb3","0","0","0"
"369d0802d9648754f6e2db59e4836919c4969b1b","0","0","0"
"c9efab5ea364bb7e0f7806fd67da6ec3d4f23536","1","0","0"
"88cdacdf0c1cccce2def19ad27c34d6bfa5943db","1","1","1"
"0be71a197a38bde76790a1e6730e35aa0e270af7","1","1","1"
"65e55d80d9817f3e85d0178c35b0c272b8a844da","0","0","0"
"9323c8aa8a15653f66d6418f0e9e6effc93ea695","0","0","0"
"52c8570ca91e476d9c9f7f854108c0ebe36e7005","0","0","0"
"3bd3e87c449b44983f34bd806345d1d1ad3d27e3","0","0","0"
"af67d4b838aaf1a27f35e6daba79862634fa39ae","1","1","2"
"ef048fa3e74727375979bcb91be9832bb12b25eb","0","0","0"
