"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"703206f9d7fcbaca868b7d6acd85bff7edfd1187","0","1","1"
"fb982f5d7cd32b311e7767bf6b78fde053ae03e0","0","0","0"
"00094d68bada4593af811da80deacdfee8caa392","1","1","2"
"ade202f8af8ce397e1eef49bdecd3556e3ad0eb7","0","1","2"
"54e3c569ce92b09700cc023d014d42025adaf81a","0","1","1"
"c1985c418c75cfb7102a4c79e8aea814b694d7cf","0","0","0"
"4f4ca0f8aa3b7ce1d68604dc767542f7762073ca","0","1","4"
"3c102ee1fc0343bafe27f8a93b3c68f9b706a1fd","1","0","0"
"4868372e137a235808f617678250e3057a7ec379","0","1","1"
"05c973de09b8a9fa4402b93a3f25095eee38a519","1","1","4"
"fbf2c8a0eae29f50aa37f03bd0eb84821b2a0c51","1","0","0"
"3ddf6a1973ee0ae3a75e9d1f5ee897620be66755","1","1","6"
"9d6bed637bf7b36e84f565b6e04da5f62dcb21e8","0","0","0"
"c473a7522102e3043d251064f08b13e691bf69c8","1","0","0"
"e550165b3cfb95d2ee1378ff23149efedbce5811","0","0","0"
"58f92007d777c2b7d40006736cbe9eab7183afc3","0","0","0"
"83a4fd28ce90597f82bd6bf275b7ade56fd754ff","0","0","0"
"9920bcd7bba2832f6ec79a125f38ca31cd70f16f","1","0","0"
"d353ec3ed43006e28ee2c9868be562f8a496926a","1","1","2"
"e7b67392dffb635c8fc9c9dc9008c4a253a115eb","0","0","0"
"ae0424d658a953f87a2f89869be21b4b6b345b18","1","1","2"
"14d9c1095e3b782809adb82aa550bddf2a93e7fd","0","0","0"
"0990cba63021f20642e00bc641cf1b6e9f1379e6","0","0","0"
"ee1f1d7182e13805d8215e7ba9a426e16d8cf3b2","0","1","1"
"5d58aed89ab32a14c45494dfee88bb667f276836","1","1","4"
"540fd83330b0fd0a07cb496fa43ddb33da3df7cd","1","0","0"
"babe7efdfef2804fbcfcf6a1cdeb3043d5d35cf7","0","0","0"
"198c0cbfa2de563fa2fcfc4c432352711dbdb642","1","1","2"
"482481fdeeeaf13732d533d07b580d5ddee53217","0","0","0"
"bf508840d3087a4286acfefa86fcfe364d0284a4","0","0","0"
"19c47f166b348673a26a2dc1765fa02ad07793d7","0","0","0"
"172ad16ce7bfc0879ba2ef4cf06341b706fbbbdc","1","1","1"
"ce5a46427c882d087e04ed6880b37e1dd8ed9a4b","1","1","1"
"d30d90072eb2f8a9a9b8b03552249b064123f80b","0","0","0"
"7c0458e6170cf0b04e5841f2a3b62003f3728738","0","0","0"
"4a2209f9259232d2daa72f191347f497650c7823","1","1","1"
"fe351f417a3f60ee9cfc68530a5f9148abdb6e69","0","1","2"
"32e43b5bf0543949e08fd7f42dfe4e9e4e1ce4c5","0","0","0"
"7eb1a649aca84e5c8ac944ff8cca319342f90e02","0","0","0"
"6a7eb4f2f4df89f885629faa9cac81e74c374f3a","0","0","0"
"00a68790e04991ddb6f9c2c2165a57ae25cba5db","1","1","12"
"6d442c381076ae45a719f9cd4b0a417e86f7d543","0","0","0"
"2b37d4207f31b1c391c964ea7f12812619211f25","0","0","0"
"ac9e7b4d2216b04065771e42c4b6e2f1146132a0","0","0","0"
"5d1b38315e7e095102802635435082f42efd6541","0","0","0"
"f3f7058ac8b35b7895dbf082415d0b6012e85a82","0","0","0"
"848d5109284848e5517a0ff3a2cd0b78466cc5eb","0","0","0"
"1f0c9cccf70fa3d1f34e552982f6aaa551143839","0","0","0"
"f6f8beccbc04e6fb31afc4820ca571b6d323ffa5","0","1","1"
"d6378650149dbdc67c4926ca8169a6fa41e69330","0","0","0"
"c651418f2c76f53790e6e528e42205d051d4c74e","1","1","1"
"b0f07ad941f322e657d6e8a47c2d21b23c113371","0","0","0"
"cef4c0ca4cbb1e2a587704ace88e0cc99402088d","1","1","4"
"c9db1fc730fe6dfdb14624cd146bc550bc26a29a","1","1","1"
"b9c76ddbf1f66d0acb4a32844064b076a38897c9","0","0","0"
"2d93d003ef78002c0270d2847e1b67abb8247edd","0","0","0"
"7838df854d7c248f6dad9b7cc0e4720fb1bf1ba4","0","1","1"
"6803ae02972cb9f5b2be8043f00e6f6529287ab8","0","1","2"
"7b7a9d980444696675672ee7a3e2c9a71bac2fb1","0","0","0"
"ce53101a9d9a90935400a61317d178d45425f08c","0","0","0"
"53985dc61b67ece885ad673eff3f1d8d831c99d9","0","1","1"
"31bad43790de16ae2b65e1e06f6939c45340acb9","0","0","0"
"3a9602657c8deffbc4edaf1a8d75fdc8fd95aa62","0","1","1"
"22dd727161880d16113a964dcacfa7618d520d9e","0","1","1"
"dd65703d25ae0d68161e6b5c77163085fff288b6","0","0","0"
