"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"711908f5a59d15c232038faa02d32abc4b5bf27a","0","1","1"
"23390d8f6188fbea6a239744b6b352fa664d585a","0","0","0"
"83e2ee55a8a0abfef528de77a23e22a89b67e592","0","0","0"
"cc7eb158cf37bb02152915d23458bf648622d726","1","1","1"
"f7f3a6bcd7e95d7a2363fc732f08b9ac08b950c8","0","0","0"
"96e98e71742a85d47bf529e21b63b9e682147ef3","0","0","0"
"4b7b228666c4a3d360485290d84adc291741ab57","0","1","1"
"139fc9879ee586dde9f14ef7a11491f6f7e87c2b","0","0","0"
"16030e738b1a49f4ebac387eb2c937c48fd09674","0","1","1"
"9b628db91be027729eed495a0d459d9cb427c077","0","0","0"
"b2d9b6f28e16c7fb3d2c7e79d7f4c79596081daf","0","0","0"
"4b88af16f549c90ff983cd59a33cb6183a07c324","0","0","0"
"89f44975ba3d12638bd294d5d2313659d6c39dbe","0","1","1"
"99ef319d2ebb9a4eda7029f7662bf4df0ae843a2","0","0","0"
"dcab5c00b81d6d9077aa2954ccd9d2609fff8186","0","0","0"
"c56a99455cafc1e292360d6825b5e20466e1f598","0","0","0"
"a67b9b1eba2b8eefde5e47847f4682223b904c75","0","0","0"
"eb102e8884c4c77f919f3669e38324fe5ed76493","0","1","1"
"6348bd0ff20a33c6a0b879a3ba0642f182125271","0","0","0"
"f29d7c290fe8a89431fb5e6ee5dfbca225aa9718","0","0","0"
"ed33c5d8ffe2e4faf8242096be31914b9e6f380c","0","0","0"
"3bb138ae771221c2a4113e34796af43f3df74603","0","0","0"
"d8dee921cc1c089268ed4580b5ccf626c6e07736","0","0","0"
"634926392dedca47bf81d3b4222a813b642f24bd","0","0","0"
"94d324c9121f2a153c233fd134f573e41947fc9d","0","0","0"
"b47cbf33af7498a98f40a93b2bb599576104d24d","0","0","0"
"df0a14c4fd248cf513d22886119bcbcbf803daf3","0","0","0"
"58ad2158e949d1b44ec98ff578da2f717b47583c","0","0","0"
"a5ecf5b613eb9faa7b9f6fd49b76fdfc8103f37d","0","1","1"
"aef6f5e9fe5d306284e06366a36daf9eb14cbe92","0","0","0"
"e1b3894a7732b9e26eacd651f139f6978bb118a9","0","0","0"
"973adafd9820db479d1971ec03ee110b87c895d0","0","0","0"
"53dd572c72960b2eef5d535c0d0db8e9e749ade4","0","0","0"
"c9307413909589c3fd964e54b1afd33176d9e5fa","0","1","1"
"f2c5932476849efdf7116c9638c91878f24a5eee","0","0","0"
"847bbd3348ff4c5c489ca902389ae9be545e0ea3","0","0","0"
"c43618debad5c7362565c195eb40a2d14f220952","0","0","0"
"f1f224b0df7ab80fb64540d849154f11b582de75","0","0","0"
"669d51f654c74dce88dc79c116fdbf2aac2d0c1a","0","0","0"
"33b02f660b8c53ba9b0b69336a3c2f33c6c6a7ee","0","1","2"
"c74823e0ed18324d044c23fd98ee105a49d824af","0","1","1"
"1b06aa2289273f218c8920fdd2ca1159d378e798","0","0","0"
"d5a0f148a07dc4cc5ec5cee238ad68f71b6a8fa7","0","0","0"
"a1313f2fc2382d792c16a786d244a8037ac42a3c","0","0","0"
"3b62142aba60813e467023c36c3e2351647e42bc","0","0","0"
"6bd86dca4199a52874ecf0aa7a8bfa22a0a76c00","0","0","0"
"9e16e78f998aa1a2026e3e2157c11fb91406a352","0","0","0"
"8cda2a422e68ead4a6658a84dd3cadd8e6cd2e12","0","0","0"
"8270df45a67dcec2902b1d8fbe18699f8d9e9413","0","0","0"
"760dc3a098ae894802ec5e23a952d647dd383f12","0","0","0"
"7d2813ce703afb63672aa3deaab9130bb6b14e21","0","1","1"
"ffcd5abad91a97e1950bd0922dd89126f0c5d011","0","0","0"
"e92a029b097a889ac4b4aa8f10fa69ef54f6a1fb","0","0","0"
"aa0ceb48ec3fbebd6f71fe34aa5dfc092415f999","0","0","0"
"c561edde7b4c95f10981256f392e31d4db630914","0","0","0"
"1d77592e0958156aefe4313d480f12ad310bbc24","0","1","1"
"f4ae469ac5dfc06feb274501963646f5c950535b","0","1","1"
"bfffd8183ed452c84d8c0f94a81a2ee36dcda305","0","1","1"
"54a637a580ecb3543d30cca4b2e95e737bae1786","0","1","1"
"e9e275e4a4b14294c4eb4c5bf94431934d16e8b7","0","0","0"
"cbd8201c11bb2e1e9238a2cc867cb03e2646f814","0","0","0"
"ad95b90bad74cb28f90d88611886f1c94becf26a","0","0","0"
"215119999d3424910c573268aac3ebe2cf053832","0","0","0"
"9c82bec78cb428f48a2f32281dd6c00bd6771e18","0","0","0"
"0281eedc9e5a46330f2ff6d5ecfa2124c6791f59","0","0","0"
"106d2864ded9834ec4e331f1b2186cb81f4ae753","0","1","1"
"518babe05d61e6a9a19def22e71390875cfb2dd2","0","0","0"
"1762880ad64034a0e5b21dfde5778eae5283e169","0","0","0"
"3eafd2f32d3825019607106477484660db1b6a48","0","0","0"
"fd2fae13cd527e426b1452299a5fecce322822f3","0","0","0"
"21c6a4d3babde399729f9cac2e0ab5cf715e9e62","0","0","0"
"4be2cf246d7726e98a11564f985edb4d7d659ac5","0","0","0"
"c7a39b0b4a28b43ac15ca5fa9a4c671439d0c45f","0","0","0"
"06cd69a4da3fa92d01356d0a4e8dc2faeed976f0","0","1","1"
"a16f08a91ddc3a8b24e8d35b662a09a3aa395b75","0","0","0"
"16aaa5f7a8120ea193ecd4cc73ebcbdac0991935","0","1","2"
"cdf0273c8b2339e281a621e3c6cb79cbfe26ef2f","0","0","0"
"f9e211fe4e89b9b3f74659597eed85542f81d99f","0","0","0"
"f3867b47726e9d409e1183c28e3013c47eeddf1f","0","0","0"
"4954a55d8c474e58ad7b139036115a3ca891a8af","0","0","0"
"5d3386fc57da5ca3c417f48f41774a6812c86d0c","0","0","0"
"ab621babb5600706318834c03bc727ea044fc873","0","1","1"
"3eb01d899428bbe76b78a005e442661860769534","0","0","0"
"d2268748043d4375301e185be9504520be6a8170","0","0","0"
"3e76aeb722aebf75d246f26420adc92ea333529e","0","0","0"
"c440852825ec128ccd3b01a23580d21f119058c3","0","0","0"
"781bda3362bfa9aae2c2fa0f25196a6a4132ed54","0","1","1"
"7c3de227e17fb3cad4911084480e6b936cfbc443","0","0","0"
"a26153e61077c7d87b04f99432990ac7bf35111d","0","1","1"
"8f04889c7882c65f5651dcf950688d0864b70160","0","0","0"
"fd383fbf3f5343b54ae2de0de1b221a709c6162f","0","0","0"
"c658c1cd6daa6fd3c18908682af21c82cf21b843","0","1","1"
"1fd1478e9ea9f03ffe148d99ed82b0dfcb553c2a","0","0","0"
"023ea0d139976c54a7489116dc98ca0c22e98f7f","0","0","0"
"bc0d376c7d3977265399f767054789fcea4a74e7","0","0","0"
"d6f9705a8bb6aadf4bdb99edcc65b77ec9c50144","0","0","0"
"fa3bfb613c3a4a28aa196548ccfc733c56b84cdd","0","0","0"
"94e42309e735bc4d24a36835736e4ae5c7e69cf9","0","0","0"
"2d176434a892bf8ac612a442ed60dabc4d153c08","0","0","0"
"def710b0a7061afa7c155fe725380e02e3f40087","0","0","0"
"650b6b3381d958f460979f4ba85c1a754f54ec21","0","0","0"
"817ed7f7ff6f7359b878db15a0f8f4a70f4278a8","0","1","1"
"6592585fab4e7a7a15e340609f3c00aac97ce666","0","1","2"
"7b56e76089a47771f0df6afd3d04e4c6b4e4396c","0","0","0"
"5e663547c40c38610f60a6370694feba46ae1977","0","0","0"
"7f68ea0454ee1217831d4716d16cbe7a93b467ee","0","1","3"
"781a7afd1fd40653a317e93a0d41385297575b13","0","0","0"
"e660e1ee0e9ed2395e3007efa1bbe62292740870","0","0","0"
"bc0219d55b0c8411b971d914a18b16af6557a64c","0","0","0"
"a88e76c5db7dba3a588872218b8ac67acdc25ae6","0","0","0"
"2824887a476f496564b4601f5dcdd8d1e05aa7df","0","0","0"
"b1d9115bd6587a86ac44959e1762bb408734ca55","0","0","0"
"f1ba265419e13cdf3015178301874b3911d7a4e5","0","0","0"
"494d05b8e7246fed12a515e589456c9d88dfcc7a","0","0","0"
"1ef96994ea1cdc57fd8a3567d7924e0980133344","0","1","1"
