"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"c076952d2dc7de4c42b70a2385d0da86b2a5fe2a","0","0","0"
"b765eaec33fa19465aac22215ac57b236a7e8330","0","1","1"
"b5af3b0d5db767cae27d77c99611520126cca217","0","0","0"
"4af7c2bf13b4aabd5a7080b22393b22d65f37784","1","0","0"
"d17112c35bba79c64bed88efea9a3790f999d42c","0","0","0"
"e4df9aa28ece0f826696b0ef84ee81a011013996","1","0","0"
"d888cc8242dcc19f61e55bc37c5555a069b59e85","0","1","1"
"273a660e74059c917906948d7974971e08e4ec91","0","1","1"
"e0c146856c2b2967b7b1a0086052d0385ecc1b56","0","1","1"
"83b3f605d5aa86cc14d13510b148661afddda1fb","0","1","1"
"ae766658438d6cfc68c73f6f68d2f811a9def08a","0","0","0"
"d1bd602b795be4602e13596a3f8b512c9d7541ea","0","1","1"
"f7a077f6e87797f0223269994460b06816d1a235","0","0","0"
"141972f0dd9d86b6d88f1f792891c7eb747c6d82","1","1","1"
